739|"48.147714016959071, 17.209167033433914"|C13||||||R16|
740|"48.147839996963739, 17.208044026046991"|C8|C13|||||R16|
741|"48.147619972005486, 17.207933971658349"|||||||R16|
742|"48.146941959857941, 17.210121983662248"|C8X||||||R16|
743|"48.146927962079644, 17.210300015285611"|||||||R16|
744|"48.1467230245471, 17.210523979738355"|||||||R16|
745|"48.146623028442264, 17.210508976131678"|C8|C13|||||R16|
748|"48.145926995202899, 17.211207021027803"|C8X||||||R16|
749|"48.14575701020658, 17.211317997425795"|||||||R16|
751|"48.144908007234335, 17.211626032367349"|C12|C12X|C16|||ZOSADNI Z BICYKLA|R16|
752|"48.14483399502933, 17.211701972410083"|C8|C8X|C16|||ZOSADNI Z BICYKLA|R16|
753|"48.142530983313918, 17.213644981384277"|C8|C8X|C16|||ZOSADNI Z BICYKLA|R16|
754|"48.142542969435453, 17.214024011045694"|C8|C8X|C16|||ZOSADNI Z BICYKLA|R16|
755|"48.139005973935127, 17.216470018029213"|C8||||||R16|
756|"48.135049967095256, 17.218338008970022"|C12|C12X|||||R16|
757|"48.130766982212663, 17.220564996823668"|C8||||||R16|
758|"48.146010814234614, 17.211338113993406"|C8||||||R16|
759|"48.147676968947053, 17.209335006773472"|C13||||||R16|
761|"48.147865645587444, 17.206086348742247"|C8||||||R16|
762|"48.147819964215159, 17.20612901262939"|C8||||||R16|
763|"48.147943010553718, 17.206594962626696"|C8|C12|||||R16|
764|"48.148465035483241, 17.205846961587667"|C12|C12|||||R16|
765|"48.148201005533338, 17.206439981237054"|||||||R16|
766|"48.147305985912681, 17.206488009542227"|C12|IP7|||||R16|
767|"48.147162990644574, 17.206629998981953"|C13||||||R16|
768|"48.147554006427526, 17.207917040213943"|C13||||||R16|
769|"48.14728201366961, 17.206386001780629"|C12||||||R16|
770|"48.146041994914412, 17.204541983082891"|C8|C13|||||R16|
7711|"48.144225971773267, 17.199533963575959"|||||||R16|
772|"48.142840024083853, 17.196445986628532"|C8|C8X|||||R27|
773|"48.130105985328555, 17.162216976284981"|C8||||||R27|
774|"48.12985997647047, 17.161843981593847"|C8||||||R27|
775|"48.129871040582657, 17.161799976602197"|C8||||||R27|
776|"48.129871962592006, 17.159125981852412"|||||||R27|
777|"48.129789987578988, 17.157240975648165"|||||||001|
778|"48.1334020011127, 17.155095962807536"|B3||||||001|
779|"48.133641975000501, 17.154911980032921"|B3||||||001|
780|"48.137231022119522, 17.151997005566955"|B3||||||001|
781|"48.137321965768933, 17.151937996968627"|IP7||||||001|
782|"48.137765033170581, 17.152865035459399"|IP7||||||001|
783|"48.137929989024997, 17.152968971058726"|C12X|IP7|||||001|
785|"48.139013014733791, 17.152293976396322"|C12|C13|||||001|
786|"48.140058992430568, 17.152005974203348"|C12|C12X|||||001|
787|"48.140102997422218, 17.151489984244108"|||||||001|2001
788|"48.140078019350767, 17.104305988177657"|||||||R19|
789|"48.136521996930242, 17.104531964287162"|||||||R19|
790|"48.136500958353281, 17.104442026466131"|C13||||||R19|
791|"48.132315035909414, 17.09990800358355"|||||||R19|
792|"48.131525041535497, 17.099785963073373"|||||||R19|
793|"48.13155697658658, 17.099901968613267"|||||||R19|
794|"48.131554964929819, 17.099809013307095"|||||||R19|
797|"48.130946019664407, 17.099401988089085"|||||||R19|
